,sex,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,schoolsup_encoded,famsup_encoded,paid_encoded,activities_encoded,nursery_encoded,higher_encoded,internet_encoded,romantic_encoded,school_MS,address_U,famsize_LE3,Pstatus_T,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,G3_prediction
11,1,15,2,1,3,3,0,5,2,2,1,1,4,0,10,12,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
12,0,15,4,4,1,1,0,4,3,3,1,3,5,0,12,13,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
13,0,15,4,3,2,2,0,5,4,3,1,2,3,0,12,12,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
14,0,15,2,2,1,3,0,4,5,2,1,1,3,0,14,14,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
15,1,16,4,4,1,1,0,4,4,4,1,2,2,6,17,17,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
16,1,16,4,4,1,3,0,3,2,3,1,2,2,10,13,13,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1
17,1,16,3,3,3,2,0,5,3,2,1,1,4,2,13,14,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
18,0,17,3,2,1,1,3,5,5,5,2,4,5,2,8,8,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
19,0,16,4,3,1,1,0,3,1,3,1,3,5,6,12,12,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
20,0,15,4,3,1,2,0,4,4,1,1,1,1,0,12,13,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1
21,0,15,4,4,1,1,0,5,4,2,1,1,5,0,11,12,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
22,0,16,4,2,1,2,0,4,5,1,1,3,5,0,12,13,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
23,0,16,2,2,2,2,0,5,4,4,2,4,5,2,10,10,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
24,1,15,2,4,1,3,0,4,3,2,1,1,5,2,10,11,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
25,1,16,2,2,1,1,0,1,2,2,1,3,5,6,10,11,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1
26,0,15,2,2,1,1,0,4,2,2,1,2,5,8,11,12,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
27,0,15,4,2,1,1,0,2,2,4,2,4,1,0,11,11,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
28,0,16,3,4,1,2,0,5,3,3,1,1,5,2,12,12,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
29,0,16,4,4,1,2,0,4,4,5,5,5,5,4,12,11,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1
30,0,15,4,4,1,2,0,5,4,2,3,4,5,0,10,11,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
31,0,15,4,4,2,2,0,4,3,1,1,1,5,2,15,15,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1
32,0,15,4,3,1,2,0,4,5,2,1,1,5,0,13,14,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
33,0,15,3,3,1,2,0,5,3,2,1,1,2,0,13,12,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
34,0,16,3,2,1,1,0,5,4,3,1,1,5,4,12,12,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
35,1,15,2,3,2,1,0,3,5,1,1,1,5,4,11,11,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
36,0,15,4,3,1,3,0,5,4,3,1,1,4,0,14,14,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1
37,0,16,4,4,2,3,0,2,4,3,1,1,5,4,13,13,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
38,1,15,3,4,1,3,0,4,3,2,1,1,5,2,11,12,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
39,1,15,2,2,1,1,0,4,3,1,1,1,2,8,14,13,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
40,1,16,2,2,2,2,0,3,3,3,1,2,3,16,11,11,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
41,0,15,4,4,1,1,0,5,4,3,2,4,5,8,10,11,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
42,0,15,4,4,1,2,0,4,3,3,1,1,5,0,14,15,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
43,0,15,2,2,1,1,0,5,4,1,1,1,1,0,9,10,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
44,1,16,2,2,2,2,1,4,3,3,2,2,5,14,10,11,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,1,15,4,3,1,2,0,5,2,2,1,1,5,4,10,11,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
46,1,16,3,3,1,2,0,2,3,5,1,4,3,6,13,12,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
47,0,16,4,3,1,4,0,4,2,2,1,1,2,2,17,17,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1
48,0,15,4,2,1,2,0,4,3,3,2,2,5,4,11,12,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
49,1,15,4,4,1,2,0,4,4,4,1,1,3,2,13,12,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
50,1,16,2,2,3,2,0,4,3,3,2,3,4,0,14,13,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
51,1,15,4,2,1,2,0,4,3,3,1,1,5,0,16,14,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
52,0,15,4,2,2,1,0,5,5,5,3,4,5,4,10,9,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
53,1,15,4,4,1,1,0,3,3,4,2,3,5,0,13,12,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
54,1,15,3,3,1,1,0,5,3,4,4,4,1,0,13,12,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
55,1,16,2,1,1,2,0,5,3,4,1,1,2,2,12,13,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
56,1,15,4,3,1,2,0,4,3,2,1,1,1,0,15,14,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
57,0,15,4,4,1,2,0,3,2,2,1,1,5,8,15,15,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1
58,0,15,1,2,1,2,0,4,3,2,1,1,5,0,14,13,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
59,1,16,4,2,1,2,0,4,2,3,1,1,5,2,16,15,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
60,1,16,4,4,1,2,0,2,4,4,2,3,4,0,17,16,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
61,1,16,1,1,4,1,0,5,5,5,5,5,5,0,10,10,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
62,1,16,1,2,1,2,0,4,4,3,1,1,1,0,13,13,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
63,1,16,4,3,1,3,0,3,4,4,2,4,4,0,14,13,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
64,1,15,4,3,1,2,0,4,4,4,2,4,2,0,13,12,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
65,1,16,4,3,3,2,0,5,4,3,1,2,1,2,16,15,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
66,0,15,4,4,1,4,0,1,3,3,5,5,3,0,11,12,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
67,1,16,3,1,1,4,0,4,3,3,1,2,5,0,10,9,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
68,1,15,2,2,2,2,0,4,1,3,1,3,4,0,11,10,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
69,1,15,3,1,2,4,0,4,4,2,2,3,3,6,15,15,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
70,0,16,3,1,2,4,0,4,3,2,1,1,5,2,13,11,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
71,0,15,4,2,1,4,0,3,3,3,1,1,3,0,11,9,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
72,1,15,1,1,1,2,0,3,3,4,2,4,5,2,13,11,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
73,0,16,3,1,1,1,0,5,3,2,2,2,5,0,13,13,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
74,1,16,3,3,1,2,0,4,3,3,2,4,5,4,11,11,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
75,0,15,4,3,1,2,0,4,3,3,2,3,5,0,11,11,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
76,0,15,4,0,2,4,0,3,4,3,1,1,1,0,12,11,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
77,1,16,2,2,1,4,0,5,2,3,1,3,3,1,13,13,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
78,0,17,2,1,2,1,3,4,5,1,1,1,3,0,9,9,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
79,1,16,3,4,1,2,0,2,4,3,1,2,3,14,12,11,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80,0,15,2,3,1,1,0,3,2,2,1,3,3,0,11,11,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
81,0,15,2,3,1,3,0,5,3,2,1,2,5,2,10,9,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
82,1,15,3,2,1,2,0,4,4,4,1,1,5,4,12,11,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
83,0,15,2,2,2,2,0,5,3,3,1,3,4,2,13,12,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1
84,1,15,1,1,1,2,0,4,3,2,2,3,4,2,13,12,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
85,1,15,4,4,2,2,0,4,4,4,2,3,5,4,12,11,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
86,1,16,2,2,1,2,0,4,3,4,1,2,2,6,13,11,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
87,1,15,4,2,1,3,0,5,3,3,1,3,1,4,15,15,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
88,0,16,2,2,2,2,0,4,4,2,1,1,3,6,12,10,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
89,0,16,4,4,1,2,0,4,1,3,3,5,5,6,9,9,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
90,1,16,3,3,1,3,0,4,3,3,1,3,4,2,9,11,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
91,1,15,4,3,1,1,0,4,5,5,1,3,1,6,14,13,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1
92,1,16,3,1,1,2,0,3,3,3,2,3,2,0,12,13,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
93,1,16,4,2,2,2,0,5,3,3,1,1,1,2,13,14,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1
94,0,15,2,2,1,4,0,4,3,4,1,1,4,2,11,12,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
95,1,15,1,1,2,4,0,3,1,2,1,1,1,4,13,13,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
96,0,16,4,3,2,1,0,3,3,3,1,1,4,6,9,11,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
97,1,16,2,1,1,2,0,4,3,5,1,1,5,0,13,12,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
98,1,16,4,4,1,1,0,5,3,4,1,2,1,4,12,13,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
99,1,16,4,3,1,3,0,5,3,5,1,1,3,2,12,13,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
100,0,16,4,4,1,1,0,4,5,5,5,5,4,12,9,9,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
101,0,16,4,4,1,3,0,4,4,3,1,1,4,0,16,16,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
102,0,15,4,4,1,1,0,5,3,3,1,1,5,2,12,13,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
103,1,15,3,2,2,2,0,4,3,5,1,1,2,16,11,10,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
104,0,15,3,4,1,2,0,5,4,4,1,1,1,0,16,16,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
105,1,15,3,3,1,4,0,4,3,3,1,1,4,10,10,10,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
106,1,15,2,2,1,4,0,5,1,2,1,1,3,4,10,10,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
107,0,16,3,3,1,3,0,5,3,3,1,1,5,4,13,14,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
108,0,15,4,4,4,4,0,1,3,5,3,5,1,8,12,10,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
109,1,16,4,4,1,3,0,5,4,5,1,1,4,2,15,15,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
110,0,15,4,4,1,1,0,5,5,3,1,1,4,4,13,14,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
111,1,16,3,3,1,3,0,4,1,2,1,1,2,4,11,11,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
112,1,16,2,2,1,2,1,3,1,2,1,1,5,12,8,10,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
113,0,15,4,2,1,1,0,3,5,2,1,1,3,10,18,17,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
114,0,15,2,1,1,2,0,5,4,2,1,1,5,4,10,9,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
115,0,16,4,4,1,2,0,5,4,4,1,2,5,6,16,14,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
116,0,15,4,4,2,2,0,4,4,3,1,1,2,4,16,15,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
117,0,16,3,3,2,1,0,5,4,2,1,1,5,6,14,14,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
118,0,17,1,3,3,2,1,5,2,4,1,4,5,14,12,11,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
119,0,15,3,4,1,1,0,3,4,3,1,2,4,2,14,13,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
120,1,15,1,2,1,2,0,3,2,3,1,2,1,0,14,14,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
121,0,15,2,2,1,4,0,5,5,4,1,2,5,6,14,13,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
122,1,16,2,4,2,2,0,4,2,2,1,2,5,2,14,12,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
123,0,16,4,4,1,1,0,3,4,4,1,4,5,4,12,13,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
124,1,16,2,2,1,2,0,5,4,4,1,1,5,0,12,11,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
125,0,15,3,4,1,1,0,5,5,5,3,2,5,2,9,9,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
126,1,15,3,4,1,2,0,5,3,2,1,1,1,0,10,11,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
127,1,19,0,1,1,2,2,3,4,2,1,1,5,0,9,10,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
128,0,16,4,4,1,1,0,3,5,5,2,5,4,8,14,14,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
129,0,16,2,3,2,3,0,3,2,3,2,2,1,4,13,12,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
130,1,15,3,4,2,3,0,4,2,2,2,2,5,0,10,11,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
131,1,18,2,1,1,2,3,5,4,5,1,3,5,10,10,9,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
132,1,17,2,1,3,1,0,3,2,2,1,2,5,8,11,10,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
133,1,15,1,1,3,1,0,4,3,3,1,2,4,6,11,12,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
134,1,17,2,2,1,1,0,3,4,4,1,3,5,2,13,12,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
135,1,16,3,4,1,1,0,3,2,1,1,4,5,12,15,13,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
136,0,16,2,1,4,1,0,3,2,1,1,1,2,4,9,9,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
137,1,16,2,2,1,1,1,5,3,4,1,1,5,12,13,11,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
138,0,15,3,4,4,2,0,5,3,3,1,1,5,2,12,11,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
139,1,15,4,4,1,3,0,4,3,3,1,1,5,4,13,14,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
140,0,17,3,4,3,2,0,5,4,5,2,4,5,2,10,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
141,1,16,1,1,4,2,0,5,1,3,1,1,3,0,14,13,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
142,0,18,3,1,2,1,0,3,3,4,4,5,4,2,11,11,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
143,1,18,3,2,1,3,0,4,3,3,5,1,5,10,12,11,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
144,1,16,1,1,2,1,0,3,3,3,1,2,1,8,12,11,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
145,1,16,3,3,2,1,0,4,3,2,1,1,5,4,9,9,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
146,0,16,1,1,1,2,2,4,4,4,1,3,5,0,10,10,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
147,1,15,4,4,2,1,0,4,3,2,1,1,5,6,13,14,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
148,1,15,1,1,3,1,1,5,5,5,1,1,1,2,8,9,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
149,0,15,4,3,2,4,0,2,2,2,1,1,3,6,9,11,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
150,1,15,3,3,1,2,0,1,3,2,2,3,1,24,9,8,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
151,0,16,4,4,1,3,0,5,3,3,1,3,5,0,15,13,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
152,0,16,2,2,2,1,0,2,3,3,2,2,2,4,12,11,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
153,1,15,4,4,1,3,0,4,2,2,1,1,5,2,13,13,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
154,1,16,1,1,1,1,0,3,4,4,3,3,1,4,10,11,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,0,17,2,1,1,1,0,5,4,5,1,2,5,22,9,7,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
156,1,15,1,1,1,2,0,4,4,2,1,2,5,0,12,12,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
